bairro_origem,bairro_destino,logradouro,observacao,peso
Alto Do Mandu,Apipucos, R. Massaranduba, ,1
Alto Do Mandu,Macaxeira, Rua. Conduru, ,1
Alto Do Mandu,Nova Descoberta, R. Nova Descoberta, ,1
Alto José Bonifacio,Morro Da Conceição, R. Corrego do Ouro, ,1
Alto José Bonifacio,Vasco Da Gama, R. Ary Peter, ,1
Alto José Bonifacio,Brejo de Beberibe, R. Alto Jose Bonifacio, ,1
Alto José Do Pinho,Morro Da Conceição, R. Corrego do Bartolomeu, ,1
Alto José Do Pinho,Mangabeira, R. Severino Bernadino Pereira, ,1
Alto José Do Pinho,Casa Amarela, R. Bella Vista, ,1
Apipucos,Monteiro, R. de Apipucos, ,1
Apipucos,Macaxeira, R. Dr. Anaulo Dornelas Camara, ,1
Apipucos,Córrego Do Jenipapo, R. Erundina N. de Araujo, ,1
Apipucos,Dois Irmãos, Rod. Governador Mario Covas, ,4
Apipucos,Caxangá, R. Zuleide Moura, ,1
Apipucos,Iputinga, R. Dr. Sebastiao de Souza, ,1
Brejo da Guabiraba,Córrego Do Jenipapo, R. Corrego da Loira, ,1
Brejo da Guabiraba,Nova Descoberta, R. Alto do Reservatorio, ,1
Brejo da Guabiraba,Passarinho, R. Santa Tereza, ,1
Brejo da Guabiraba,Brejo de Beberibe, R. Francisco Camarino, ,1
Brejo de Beberibe,Passarinho, Av. Canaa, ,3
Brejo de Beberibe,Nova Descoberta, R. Alto do Refugio, ,1
Brejo de Beberibe,Vasco Da Gama, Av. Ver. Otalicio Azevedo, ,3
Brejo de Beberibe,Linha Do Tiro, R. Isaltino Lobo, ,1
Casa Amarela,Tamarineira, R. Guimaraes Peixoto, ,1
Casa Amarela,Parnamirim, R. Ferreira Lopes, ,1
Casa Amarela,Poço, R. Jornalista Guerra de Holanda, ,1
Casa Amarela,Monteiro, Estr. do Arraial, ,5
Casa Amarela,Vasco Da Gama, R. Vasco da Gama, ,1
Casa Amarela,Morro Da Conceição, Estr. do Morro da Conceicao, ,5
Casa Amarela,Casa Forte, Estr. do Encanamento, ,5
Casa Forte,Parnamirim, R. Lemos Torres, ,1
Casa Forte,Santana, R. Dona Olegarinha, ,1
Casa Forte,Poço, Av. Dezessete de Agosto, ,3
Córrego Do Jenipapo,Nova Descoberta, R. Alto do Formoso, ,1
Córrego Do Jenipapo,Macaxeira, R. Alto Santa Luzia, ,1
Córrego Do Jenipapo,Dois Irmãos, Av. da Recuperacao, ,3
Derby,Graças, R. Guilherme Pinto, ,1
Derby,Madalena, Pte. Estacio Coimbra, ,2
Dois Irmãos,Guabiraba, Estr. dos Macacos, ,5
Dois Irmãos,Sítio Dos Pintos, R. Prof. Claudio Selva, ,1
Dois Irmãos,Caxangá, R. Manuel de Medeiros, ,1
Espinheiro,Graças, R. do Espinheiro, ,1
Graças,Jaqueira, R. do Futuro, ,1
Graças,Tamarineira, R. Ricardo Hardman, ,1
Graças,Torre, Pte. Engenheiro Cândido Pinto De Melo, ,2
Graças,Madalena, Pte. da Capunga, ,2
Guabiraba,Pau-Ferro, Estr. Do Orfanato, ,5
Guabiraba,Brejo da Guabiraba, R. Sr. do Bonfim, ,1
Guabiraba,Passarinho, Estrada do Passarinho, ,5
